frekvens (Hz),demping CH1(dB),Phase (deg),Demping CH2 (dB),Phase (deg)
12.6953125,-50.8884364658181,161.5930731975145,-50.05423614324392,156.0600941886501
12.939453125,-51.32524792598404,157.3957936789226,-50.36926047637974,153.3214248761263
13.18359375,-53.52387032386677,153.0031632303123,-52.47776964639392,149.7007477154477
13.427734375,-57.40677775220671,142.475695196293,-56.69905364778715,137.8376244073872
13.671875,-58.91229960669104,63.45347708205544,-57.7080085713463,55.07451129969436
13.916015625,-52.32605993003133,49.03272526007427,-51.20884457448444,39.92721197106241
14.16015625,-51.33651378835264,56.29133889521304,-50.2578956843227,44.85558793356601
14.404296875,-52.66944793039548,65.72607590636164,-51.61398187216483,52.49292491195327
14.6484375,-54.27380679600674,78.59769464192513,-53.7946521124598,64.59136304397543
14.892578125,-56.51865057838165,107.0871298255193,-57.24140664660539,99.16785477267871
15.13671875,-53.34037110382322,131.9795041174273,-53.6699100731342,132.8860626614631
15.380859375,-50.94798195585071,127.5193619803594,-51.31097448872911,131.9032910942682
15.625,-51.21031646819177,122.1315603537393,-51.62375884830521,130.5100375538616
15.869140625,-51.98323317750671,119.3153181244372,-52.46773447191194,128.8049218733636
16.11328125,-55.60699036842654,114.3627844485643,-56.52521179721621,127.8277566732181
16.357421875,-70.24898865578263,169.8559984491846,-66.014852593349,14.3859803257074
16.6015625,-59.76012590035467,68.39219371273239,-60.13194508484791,65.94665465749344
16.845703125,-56.63734337727914,77.2548239578976,-58.2872969784341,79.30927017023761
17.08984375,-53.68477537534295,83.68314294514016,-55.71220118235437,86.38065925842275
17.333984375,-53.24370100154196,87.72377569867763,-55.5031174831533,89.9975202208841
17.578125,-56.57325907566019,106.6888869307175,-58.98052893370169,115.9850062525018
17.822265625,-58.3018574950977,156.2697624296543,-57.94558334291597,166.3252363659172
18.06640625,-57.43428687366049,2.1110026695283,-56.66513846697001,178.3341678442503
18.310546875,-57.97776794848994,13.91852389258801,-57.49186079643184,1.44375606964943
18.5546875,-59.17115414085594,12.96142060313309,-58.94316373792959,175.222371146512
18.798828125,-64.95347895549118,175.064764367738,-64.31145388916073,145.6361981005088
19.04296875,-67.93750319131067,68.61481248556174,-73.41036380618377,69.44440782275879
19.287109375,-59.4135711103514,82.8033920306942,-60.20273705329753,88.57143261720077
19.53125,-58.94013261851845,84.79431881659757,-58.63449533000669,94.47016351374258
19.775390625,-60.34982304929733,80.24399678715568,-58.9647740526045,92.84541543471066
20.01953125,-68.65974967905657,43.33729079832803,-64.89910662144308,98.11888276416811
20.263671875,-60.31684396384289,104.4131545791626,-65.43917516367885,68.39578499096548
20.5078125,-55.45934110250655,101.1032343251221,-58.19944284534522,87.73292670522143
20.751953125,-54.74772476942547,101.9293040745213,-56.61995530177165,93.76650926313559
20.99609375,-54.94566911655148,96.38559836166155,-55.59396616613067,96.03538773723984
21.240234375,-57.34930700486306,91.62161964919585,-56.39597556684569,101.9710275165232
21.484375,-65.2948742661309,66.20565898186705,-62.16312553703499,109.7276606363477
21.728515625,-67.38720245119522,152.1006211951046,-70.5535853229679,156.8067845357406
21.97265625,-62.00577000230034,105.0302404613075,-64.8827791304812,40.29296607658418
22.216796875,-57.18419264582032,98.17117403900023,-59.58198077174892,71.1086434968887
22.4609375,-55.84139475069428,90.28482804540155,-57.98490202028458,74.64221202381947
22.705078125,-56.80601753803149,70.30936641339957,-58.78593818604378,61.75139110235393
22.94921875,-57.62796872322537,65.28739610023077,-58.90675388285793,66.12025160864317
23.193359375,-58.14514867803243,61.63014570550093,-58.98253648612291,72.56485434711399
23.4375,-60.4117377009101,41.51468141294428,-62.03155421398119,69.07565273421253
23.681640625,-65.1796247193908,56.80178908338205,-62.93583055100709,97.90038590239358
